UNIT_ID,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,SHAPE_Length,SHAPE_Area
Tuolumne - Calaveras County,SHELLY,2012-08,2012/08/12 00:00:00+00,2.0,50.0,45.992451,4063.86124654277,301026.907714108
Tehama - Glenn County,PONDEROSA,2012-08,2012/10/12 00:00:00+00,1.0,27676.0,27670.379,102054.41297776,193418516.771158
Ventura County,CONEJO,2012-08,2012/08/10 00:00:00+00,10.0,25.0,21.886419,1714.8442333801,129796.448123432
Ventura County,HOWARD,2012-10,2012/10/30 00:00:00+00,5.0,5.0,12.363678,1214.55523882915,73304.9800523902
Ventura County,MOUNT SINAI,2012-08,2012/08/30 00:00:00+00,14.0,20.0,29.062634,1833.10229566008,172691.163191203
Ventura County,SKYLINE,2012-08,2012/08/27 00:00:00+00,14.0,39.0,35.346111,3500.43039227803,210122.848072746
Ventura County,TELEGRAPH,2012-08,2012/08/26 00:00:00+00,1.0,88.0,75.202385,3576.97314674723,448229.759742457
Klamath County,BARRY POINT ,2012-08,2012/09/17 00:00:00+00,1.0,93071.0,92944.531,249671.910051184,681902775.813945
Amador - El Dorado County,VOLCANO,2013-08,2013/08/04 00:00:00+00,9.0,11.0,10.934735,1320.20446855867,73333.5048780144
Los Angeles County,BEE,2013-08,2013/08/09 00:00:00+00,9.0,250.0,206.08066,7356.67239823367,1232954.26247445
Los Angeles County,DEL,2013-06,2013/06/09 00:00:00+00,2.0,10.0,17.784725,1662.26454311412,106592.029953132
Los Angeles County,GULCH,2013-09,2013/09/09 00:00:00+00,9.0,6.2,5.0243025,637.781914577547,30050.8662354629
Los Angeles County,HIGHWAY,2013-05,2013/05/14 00:00:00+00,10.0,49.0,49.124416,3398.11997594943,293959.851993239
Los Angeles County,ISLAND,2013-07,2013/07/09 00:00:00+00,2.0,25.0,11.978901,1291.56098025525,71729.0702401723
Los Angeles County,LIEBRE,2013-11,2013/11/19 00:00:00+00,7.0,14.0,14.52183,1442.05312129153,87177.8559015449
Los Angeles County,MESSENGER,2013-05,2013/05/04 00:00:00+00,4.0,4.1,4.5006466,741.817184964313,26804.8460946008
Los Angeles County,POWERHOUSE,2013-05,2013/12/18 00:00:00+00,9.0,30268.0,30267.691,145512.96685782,181466415.323795
Los Angeles County,SHARP,2013-08,2013/08/13 00:00:00+00,7.0,246.0,245.49333,6512.94108401533,1460644.8217239
Los Angeles County,TOWNSEND,2013-06,2013/06/22 00:00:00+00,2.0,12.0,29.871128,1711.63176151578,178701.164011846
San Bernadino County,CLEGHORN,2013-08,2013/08/17 00:00:00+00,2.0,110.0,98.369675,5545.82752056693,584795.616392237
San Bernadino County,FAWNSKIN,2013-04,2013/05/01 00:00:00+00,4.0,30.0,14.400599,2180.96639673515,85576.6361110367
San Bernadino County,GOBBLERS,2013-08,2013/10/29 00:00:00+00,1.0,413.0,406.69464,8712.39057563662,2417877.39644971
San Bernadino County,GORGONIO,2013-05,2013/05/05 00:00:00+00,14.0,600.0,510.22379,15087.7348348407,3004300.20984311
San Bernadino County,HATHAWAY,2013-06,2013/06/20 00:00:00+00,4.0,3870.0,3779.7322,37379.2702774874,22327193.6293695
San Bernadino County,HOLCOMB,2013-03,2013/03/31 00:00:00+00,4.0,1.0,0.94633484,367.649167421143,5626.39687949272
San Bernadino County,KEENBROOK,2013-05,2013/05/15 00:00:00+00,6.0,15.0,11.03264,2446.03688137049,65480.8917254247
San Bernadino County,KEN,2013-11,2013/11/12 00:00:00+00,9.0,10.0,5.2359939,1478.88752736396,31083.802928213
San Bernadino County,LITTLE,2013-08,2013/08/29 00:00:00+00,9.0,97.0,95.796143,5522.97083744585,560836.394354702
San Bernadino County,LYTLE,2013-05,2013/05/13 00:00:00+00,2.0,75.0,76.873619,5555.13030417818,455710.070598801
San Bernadino County,MOUNTAIN,2013-07,2013/07/30 00:00:00+00,9.0,27505.0,27523.666,95986.4733405059,161435507.045453
San Bernadino County,SIERRA,2013-09,2013/09/24 00:00:00+00,9.0,200.0,123.38175,7013.61991867989,731934.653531755
San Bernadino County,TRAM,2013-08,2013/08/07 00:00:00+00,2.0,60.0,59.220036,2802.66786099199,348230.509551465
San Bernadino County,WOOD,2013-08,2013/08/04 00:00:00+00,9.0,11.0,13.262304,2452.0410358921,78759.9278353666
San Bernardino County,GREY,2013-07,2013/09/19 00:00:00+00,14.0,12.0,12.05707,1068.23491913784,71461.1675763506
San Bernardino County,MILL,2013-06,2013/06/29 00:00:00+00,7.0,534.0,534.26282,11703.0366477281,3158858.62974992
San Bernardino County,RIVER,2013-02,2013/03/01 00:00:00+00,14.0,406.0,406.84146,8138.93286351588,2559475.33533431
San Bernardino County,SPRING,2013-01,2013/01/27 00:00:00+00,14.0,13.0,13.568089,1312.15417745044,86946.1879935322
Monterey - San Benito County,FREEMAN,2013-06,2013/06/29 00:00:00+00,10.0,105.0,105.29126,5533.56819491796,654931.102820477
Monterey - San Benito County,PINNACLES,2013-07,2013/07/03 00:00:00+00,10.0,95.0,92.912674,2960.15089306241,582520.246323035
Monterey - San Benito County,SYCAMORE,2013-08,2013/08/04 00:00:00+00,8.0,25.0,14.965623,1760.064764812,93335.4396666938
Monterey - San Benito County,TRES PINOS,2013-05,2013/05/03 00:00:00+00,2.0,354.0,353.49411,12260.9393060012,2235022.14531501
Butte County,BRANCH,2013-08,2013/08/10 00:00:00+00,9.0,100.0,69.256477,3802.79884370018,473551.615156786
Butte County,CEDAR,2013-05,2013/05/04 00:00:00+00,18.0,68.0,68.206657,2896.9873388931,471228.783994687
Butte County,CENTERVILLE,2013-08,2013/09/01 00:00:00+00,9.0,50.0,54.391247,3516.64240734688,373469.658391933
Butte County,LONE,2013-06,2013/06/03 00:00:00+00,2.0,298.0,224.9926,14269.5561362793,1528495.49115876
Butte County,ONION,2013-04,2013/05/01 00:00:00+00,18.0,27.0,27.252476,2578.09732956109,189220.467217653
Butte County,PANTHER,2013-05,2013/12/09 00:00:00+00,9.0,6896.0,6896.1982,48466.5493839445,47851691.8090984
Butte County,SUMMIT,2013-10,2013/10/05 00:00:00+00,9.0,305.0,268.49039,10232.5333555591,1823626.95562962
Butte County,SWEDES,2013-08,2013/08/22 00:00:00+00,14.0,2462.0,2462.2395,20013.1391885868,16740069.9103705
Los Angeles County,ELKHORN,2013-05,2013/05/23 00:00:00+00,14.0,,71.473717,3787.79007007797,432054.831301816
Los Angeles County,KENDON,2013-06,2013/06/21 00:00:00+00,14.0,,2.4113009,647.552552124166,14611.4918404785
Los Angeles County,RED ROCK,2013-07,2013/07/05 00:00:00+00,14.0,,5365.2446,38833.5307889982,36965185.2139328
Los Angeles County,RIO,2013-08,2013/08/19 00:00:00+00,14.0,,2.8984163,679.453120372088,17790.2431761702
Riverside County,BACKUS,2013-03,2013/03/23 00:00:00+00,9.0,,77.830887,5391.24557669278,470148.245663916
Riverside County,HIGHLINE,2013-04,2013/04/03 00:00:00+00,1.0,,261.724,6317.60274115451,1499833.42527076
San Diego County,FALLS,2013-08,2013/08/14 00:00:00+00,9.0,1383.25,1384.3265,20543.7756302404,8103325.50398302
San Diego County,LA POSTA 2,2013-09,2013/09/02 00:00:00+00,1.0,13.8,13.750344,1390.63859502997,78894.961124551
San Diego County,LYON,2013-09,2013/09/12 00:00:00+00,9.0,263.0,263.23172,7313.507619232,1508954.72285695
San Diego County,PEUTZ,2013-07,2013/07/02 00:00:00+00,9.0,140.0,139.36105,4276.98505383254,802166.550110565
